[ 2025-03-21 20:57:24,793 ] 14 - root - INFO - Initiate the data ingestion
[ 2025-03-21 20:59:51,470 ] 65 - root - INFO - Performed train test split on the dataframe
[ 2025-03-21 20:59:51,471 ] 67 - root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-21 20:59:51,477 ] 75 - root - INFO - Exporting train and test file path.
[ 2025-03-21 20:59:57,204 ] 84 - root - INFO - Exported train and test file path.
[ 2025-03-21 20:59:57,514 ] 16 - root - INFO - Data Ingestion completed
[ 2025-03-21 20:59:57,522 ] 20 - root - INFO - Initiate the data validation
[ 2025-03-21 20:59:58,473 ] 34 - root - INFO - Required number of columns: 3
[ 2025-03-21 20:59:58,474 ] 35 - root - INFO - Dataframe has: 7 number of columns
[ 2025-03-21 20:59:58,476 ] 34 - root - INFO - Required number of columns: 3
[ 2025-03-21 20:59:58,477 ] 35 - root - INFO - Dataframe has: 7 number of columns
